id,신고번호,신고일자,신고세관부호,수입신고구분코드,수입거래구분코드,수입종류코드,징수형태코드,운송수단유형코드,신고인부호,수입자,해외거래처부호,특송업체부호,HS10단위부호,적출국가코드,원산지국가코드,관세율,관세율구분코드,원산지표시유무코드,신고중량(KG),과세가격원화금액
52,71136828,2021-04-01,30,B,11,11,11,10,H3RWZG0,HBVO5R2,O9QXSRZ,,710802000,CN,CN,27.0,C,B,48000.0,14073600.0
53,63914551,2021-04-01,20,B,11,21,11,10,E3Q8ABV,KPPP26M,XD2UA8W,,2208909000,DE,DE,30.0,A,E,5.7,1346.34
54,82163953,2021-04-01,20,B,11,21,11,10,H3RWZG0,1YB4G9F,VH8BK8T,,9025191000,GB,GB,0.0,FEU1,Y,8.0,849.6
55,49978880,2021-04-01,40,B,11,21,11,10,UFO3ZSU,RUL1KAP,6RC0XUY,,8211910000,US,JP,8.0,A,Y,84.5,42951.35
56,76466404,2021-04-01,20,B,11,21,11,10,X2D9TDI,3OE9N6Y,DY1U8OR,,8528722020,US,MX,8.0,A,B,20300.0,7383110.0
57,65022237,2021-04-01,40,B,11,21,11,40,UFO3ZSU,3BFUK83,PBP2MYI,,3926909000,US,MX,6.5,C,Y,7.2,4.32
58,14510005,2021-04-01,40,B,11,21,11,10,AX4CW6G,6P4KBWS,BDKR51A,,8536699000,US,US,0.0,FUS1,S,0.4,28.04
59,86957152,2021-04-01,40,B,11,21,11,10,SC03Z0S,LIBAZFC,CAQ35IV,,6211499000,CN,CN,13.0,A,E,16.2,2115.72
60,28086209,2021-04-01,30,B,11,21,11,40,T1NEHF1,6FHN7Y9,P2A8VCH,,3923500000,CN,CN,0.0,FCN1,S,140.0,1064.0
61,55724591,2021-04-01,33,B,11,21,43,40,8L21I9K,RTTOFTL,JZOJERU,ALDCWV,106203000,US,US,0.0,FUS1,Y,4.0,11830.8
62,93668207,2021-04-01,21,B,11,21,11,10,43MSLZK,AUC3VAW,IY4N2JX,,8703231020,US,US,0.0,FUS1,B,2580.0,19608.0
63,88150030,2021-04-01,40,B,11,21,43,40,TWNONMM,IO53SE1,UPOBSCO,,301929090,CN,CN,20.0,L,E,1015.0,4585262.5
64,49945914,2021-04-01,30,B,11,21,11,10,5XHS2TE,1CPH5OM,5C5RKXQ,,3926909000,HK,CN,6.5,C,E,65.0,39.0
65,84910224,2021-04-01,30,B,11,21,11,10,2PDED6U,JH9PTCU,0DMMCY4,,3926909000,CN,CN,6.5,C,Y,200.0,120.0
66,34854746,2021-04-01,14,B,94,26,11,10,C0Q9IQC,LKB52YW,YRLCVDR,EIZP3I,8529909910,CN,CN,0.0,CIT,E,20.0,79330.0
67,75503804,2021-04-01,30,B,11,21,11,40,RP2SEEH,YOIYVTD,HXLX50R,,8703241020,DE,DE,0.0,FEU1,Y,2100.0,10920.0
68,90997688,2021-04-01,30,B,11,21,11,10,HOK5QTW,WRH8523,D6NEX3J,,7326909000,CN,CN,8.0,A,E,36812.0,55218.0
69,58202458,2021-04-01,40,B,11,21,11,40,RUQ523G,HJAXBP3,WU6JDK7,,8711609000,CN,CN,4.0,E1,E,3550.0,1209130.0
70,18415261,2021-04-01,20,B,11,21,11,10,K5BUCNJ,1IGN7J1,MHZFGYB,,8537109000,US,US,8.0,A,B,4.2,1262.1
71,35948598,2021-04-01,16,B,11,11,11,40,CUSAU8B,ZIJRBG2,2RDQJ4A,,3926909000,CN,CN,3.4,FCN1,E,70.0,42.0
72,72276819,2021-04-01,40,B,11,21,11,10,EJW9AY4,37GLFXT,XQO1WW8,,4819509000,CN,CN,0.0,C,G,24.3,94.77
73,83345390,2021-04-01,40,B,11,21,18,40,DWNJQL8,V5IDKAS,,MWIDNS,9401809000,CN,CN,0.0,C,E,120.0,144.0
74,45543334,2021-04-01,16,B,11,21,11,10,AX4CW6G,BY2DEZ0,S8U4RC9,,3923300000,DE,DE,6.5,C,G,148.2,1496.82
75,33398830,2021-04-01,40,B,11,21,11,10,KWFQCBV,SFDKNTT,YALGTHH,,9017309000,US,US,8.0,A,G,1.2,538.56
76,28788752,2021-04-01,40,B,94,21,11,40,PF1L1IG,PQ4CKYK,7YDUXDG,MWIDNS,8421999099,VN,VN,0.0,FAS1,E,6528.0,37862.4
77,88090880,2021-04-01,40,B,11,21,11,10,OIQKQ7T,183BQGU,M6DTXEO,,7602000000,AE,AE,0.0,A,Y,45550.0,446390.00000000006
78,61915114,2021-04-01,40,B,11,21,11,40,31R3APF,XE08QFH,U4S0IS2,,3926909000,CN,CN,6.5,C,G,10.5,6.3
79,13177095,2021-04-01,30,B,11,21,11,40,6H2BKO4,K87I89G,J3MVTPD,,4202999000,JP,CN,8.0,A,S,9.4,91.18
80,21629113,2021-04-01,40,B,94,21,18,40,GA4B353,077F1NN,,W6UCD9,8477900000,CN,CN,8.0,A,E,1180.0,142308.0
81,62365905,2021-04-01,40,B,94,21,43,40,K3E28IQ,AWBASYY,TAU9HB1,77BN4M,3305909000,FR,FR,0.0,FEU1,Y,9.0,2336.4
82,60834055,2021-04-01,40,B,11,21,11,40,OZB7KED,EC6SU3L,OLQ4X81,W5AYVM,1211901999,TH,TH,0.0,FAS1,Y,100.0,6040.0
83,78367233,2021-04-01,40,B,11,21,0,10,RQQ6ONT,2E8IAE6,BVDOUUX,,8708999000,US,FR,8.0,A,S,41.0,287.0
84,60980398,2021-04-01,41,B,15,21,43,10,4D88SMV,OU0GRJ3,2UQA82F,VZIZJJ,9032909000,JP,JP,8.0,A,E,60.0,21684.0
85,72300912,2021-04-01,30,B,11,21,43,10,7Y5OGPF,GMA1M3Z,W5WQQV8,,8479909070,CN,DE,8.0,A,Y,10880.0,14163584.0
86,55463335,2021-04-01,20,B,11,21,43,10,7N4H6JC,K0OPG98,56PEPKA,,5911900000,HK,US,8.0,A,E,30.0,180.0
87,99816809,2021-04-01,20,B,11,21,11,10,BAIQVNM,UHYWN3J,Y5O0L1C,,9032102000,CN,CN,2.4,FCN1,E,1723.6,2166565.2
88,84726918,2021-04-01,40,B,11,21,11,10,4DVCP63,2TSD24C,CCQD9K8,,7020009000,CN,CN,3.2,FCN1,Y,70.0,2996.0
89,69106794,2021-04-01,20,B,11,21,11,10,DWNJQL8,FR4LON3,8G2ODGB,,5208210000,CN,CN,4.0,FCN1,B,2221.0,1591568.6
90,49287797,2021-04-01,40,B,94,21,18,40,U8YJ1TN,GHUPRPW,,W6UCD9,8523491039,CN,JP,0.0,C,E,0.5,90.1
91,67270867,2021-04-01,20,B,11,21,43,10,O4RTZZ1,5KW688C,LIUFT4S,77BN4M,9603290000,CN,CN,8.0,A,Y,25.0,792.5
92,84892761,2021-04-01,13,B,11,26,11,10,2WLEVM6,A5XMNNP,RRA436S,F1WAH6,710807000,VN,VN,27.0,A,E,48000.0,12729600.0
93,88809887,2021-04-01,16,B,11,21,11,10,JV09A3F,7C0PR0Y,EAAHZG6,,9403309000,JP,CA,0.0,C,Y,155.0,155.0
94,82690407,2021-04-01,30,B,11,21,11,10,08TXFBU,Z19EZE9,1DFQU9H,W6UCD9,3926909000,JP,JP,6.5,C,E,1.0,0.6
95,67922384,2021-04-01,20,B,11,21,11,10,ULUYLTX,9JK9DH8,DUB6YVW,,3504002090,CN,CN,3.2,FCN1,E,260.0,415012.0
96,86873276,2021-04-01,13,B,11,21,11,40,6YV2O43,PVVXEPK,6TZ14LZ,,6112120000,CN,CN,5.2,FCN1,E,42.0,56989.8
97,29854032,2021-04-01,20,B,11,21,18,10,ZKXGCQR,LOJ70OG,WPN0LAZ,,8425491000,CN,CN,0.0,C,G,16500.0,1306800.0
98,71687308,2021-04-01,30,B,11,21,11,40,VK8SOUK,BY2DEZ0,1UMZ13D,,5408320000,JP,KR,8.0,A,Y,159.6,335000.4
99,87559831,2021-04-01,30,B,11,21,11,10,E3Q8ABV,PAK8E37,7B6MAYT,,4202999000,CN,CN,8.0,A,E,85.0,824.4999999999999
100,51141343,2021-04-01,16,B,94,21,0,40,HV1AB1L,MUDP21A,BM9CZAS,W6UCD9,9030201090,TW,MY,0.0,CIT,E,8.5,1494.3000000000004
101,56803540,2021-04-01,140,B,11,11,11,40,T3TZ0DI,ET73LWE,3WBROKL,5V1OQR,9026809000,JP,JP,0.0,C,E,2.6,638.3000000000002
102,74043884,2021-04-02,20,B,11,26,43,10,OIQKQ7T,SAQIEBE,4KM1XJD,,5516921000,CN,CN,10.0,A,E,17.0,23233.9
103,15518108,2021-04-02,40,B,11,21,11,10,E3Q8ABV,FWVNMKK,4VT0JBO,,2916149000,TH,TH,0.0,FAS1,B,14400.0,13622400.0
104,35309474,2021-04-02,13,B,11,21,11,10,7F6B3XW,C0ZO4KW,864IGPR,,9619001090,JP,JP,0.0,C,G,5990.2,2372718.22
105,51994807,2021-04-02,40,B,11,21,18,40,E0AGTLM,M847INU,KH76HLX,,8419509000,CN,CN,0.0,FCN1,Y,5184.0,1194912.0
106,42383612,2021-04-02,40,B,94,21,18,40,DWNJQL8,Z51P2K8,2JUMJC8,W6UCD9,9506399000,CN,CN,8.0,A,E,4.5,120.15
107,49907487,2021-04-02,40,B,11,21,11,10,UTNPOCA,54H2847,3KKQWHO,,8501102000,JP,JP,8.0,A,B,325.0,57947.50000000001
108,40260545,2021-04-02,20,B,11,21,11,10,6T0AJ3G,709VF5M,,,6201920000,VN,VN,0.0,FVN1,G,3618.0,5434959.6000000015
109,26449415,2021-04-02,30,B,11,21,43,40,Y7GUHAF,QSSAOA6,B9RWW8H,PIAN6F,9506391000,TW,TW,8.0,A,S,118.0,62941.2
110,99280793,2021-04-02,40,B,11,21,11,10,X4WUP3G,49PMUN4,,,7311001000,CN,KR,8.0,A,B,79.8,25152.96
111,84664048,2021-04-02,20,B,11,21,43,40,DWNJQL8,261DWYA,CVTR84P,W6UCD9,3926909000,JP,JP,6.5,C,E,14.5,8.7
112,91382485,2021-04-02,40,B,11,23,14,40,B4QC455,FZLKU2U,JUTW0U7,,6206401000,JP,JP,13.0,A,G,3.8,72.58
113,19224392,2021-04-02,30,B,11,21,11,10,8EF0CRI,BB8KHCJ,IJMJ3CB,,8703231020,US,US,0.0,FUS1,G,2580.0,19608.0
114,13946084,2021-04-02,40,B,11,21,18,40,RX5F5DZ,PCW8KX7,HYJYTXY,,3304201000,JP,JP,6.5,C,S,0.5,93.9
115,30950385,2021-04-02,20,B,11,21,11,10,30KWO4D,OFDBYP9,UJ6KKS7,,8426410000,JP,JP,0.0,C,E,25420.0,770226.0
116,81929033,2021-04-02,33,B,11,21,43,10,UUVWTGZ,IF60CYY,EU7F0OH,,8504403010,CN,CN,0.0,C,B,171.8,37452.4
117,16237218,2021-04-02,40,B,89,21,11,40,6V8QPPW,57P60MX,IEVPZJV,W6UCD9,2508100000,TR,TR,3.0,A,E,2819.6,64568.84
118,71237346,2021-04-02,20,B,11,21,11,40,FPRQ58Z,JMXCJ4Z,39N2UXR,,4819509000,CN,CN,0.0,C,G,24.3,94.77
119,40838533,2021-04-02,40,B,11,21,11,40,F2SS4WH,3Z5L1PO,MTZUGMF,,4401310000,MY,MY,0.0,FAS1,E,601900.0,22932390.0
120,79893033,2021-04-02,20,B,11,21,11,10,DB9B0VN,HTCHOL5,,,8421999099,CN,CN,5.0,F,G,150.0,870.0
121,66761746,2021-04-02,12,B,15,21,11,40,R52WILO,BEUBDCC,6D7O1JG,W6UCD9,6109903010,CN,CN,13.0,A,Y,11.0,687.5
122,71828505,2021-04-02,20,B,11,21,43,10,X2D9TDI,UUFJY7A,9TWAUS9,,8413200000,CN,CN,0.0,FCN1,B,7.1,85.91
123,43389630,2021-04-02,20,B,11,21,11,10,RWYXI0J,1J56HME,LGM2WU1,,9503003919,CN,CN,4.8,FCN1,E,950.0,63555.00000000001
124,16513317,2021-04-02,30,B,11,21,11,10,NAILZPA,YUNRUOL,GGLFRDC,,3926909000,HK,CN,6.5,C,E,65.0,39.0
125,13769939,2021-04-02,40,B,11,21,11,10,7N4H6JC,EAK4J4P,BDKR51A,,8471509000,US,MY,0.0,C,S,0.4,88.68
126,82654468,2021-04-02,30,B,11,21,14,10,OZB7KED,4U0AB5R,U761664,,2308001000,ZA,ZA,5.0,A,S,14150.0,4922785.0
127,72280341,2021-04-02,40,B,11,21,43,40,DWNJQL8,RJZFZS7,6ZQTY16,,4810131000,DE,DE,0.0,C,E,108357.0,41479059.6
128,23560242,2021-04-02,20,B,11,21,11,40,09EO87L,L7QCJC6,HF1SPR9,,6115950000,CN,CN,13.0,A,S,133.0,2832.9
129,12742124,2021-04-02,40,B,11,21,14,40,Q4SMFNB,C9B163D,MN1LPLC,MWIDNS,4203219000,US,VN,13.0,A,E,13.4,13339.7
130,91604770,2021-04-02,16,B,94,21,11,40,3MH8IN3,EMDGPW6,PY9S09O,EIZP3I,3926901000,US,US,0.0,FUS1,G,1.6,50.56
131,55694596,2021-04-02,40,B,11,21,43,40,6T0AJ3G,4H5581M,D8IKIEY,,8471300000,CN,CN,0.0,C,Y,5.2,15499.64
132,89061912,2021-04-02,16,B,11,21,11,40,DN7LBUR,SZRWM2A,T7JQGZF,,6206401000,CN,CN,13.0,A,G,1.0,19.1
133,49355955,2021-04-02,40,B,11,21,11,10,ZKB0LAL,E808G5S,4NME6CL,,5605000000,CN,CN,8.0,A,G,9.3,39813.3
134,90805018,2021-04-02,20,B,11,21,11,10,ZQJIYI3,IBV3GBY,JUTZAAG,,7208900000,US,US,0.0,C,Y,2348.0,295848.0
135,93830510,2021-04-02,40,B,11,11,11,40,44F36R4,Y87FS2K,4KM1XJD,,6211499000,GB,IT,0.0,FEU1,Y,1.0,130.6
136,77241337,2021-04-02,30,B,11,21,11,10,NZYZ967,7Y5DNPU,6VMLYKJ,,8543709090,DE,DE,0.0,FEU1,B,400.0,10080.0
137,64848338,2021-04-02,20,B,89,21,11,40,N1LOTGT,1JX0VM0,ZFHRNRL,,6110301000,CN,CN,13.0,A,G,2.0,185.6
138,86120212,2021-04-02,40,B,11,21,11,40,GO1EBDS,V0UTN69,BZZEHPH,,6403599000,CN,CN,13.0,A,E,2.0,1367.6
139,78359159,2021-04-02,40,B,88,21,43,40,UN8ZIU6,DPWC0XJ,,,6202131000,CN,CN,6.5,E1,E,600.0,8760.0
140,24666524,2021-04-02,20,B,51,21,14,10,JUL6LXF,01PGGRM,QS3VS0F,MWIDNS,3824999090,CN,CN,6.5,C,B,20660.0,258250.0
141,32036647,2021-04-02,20,B,87,21,11,40,WMQWT34,LJ7VP81,M7T9O12,,8544200000,US,CN,8.0,A,E,0.1,107.26
142,66127044,2021-04-02,30,B,11,21,11,10,K5BUCNJ,Y8ES004,99M2438,,6206401000,CN,CN,6.5,E1,E,32.0,611.2
143,22613817,2021-04-02,40,B,22,21,11,10,3Z185QT,KFTZVQO,S7YABCT,W6UCD9,6204530000,CN,CN,8.1,E1,Y,19.0,760.0
144,71581722,2021-04-02,33,B,11,21,11,40,SAFAICA,F0O2PIM,4N8PAEG,BX52LT,9030901000,JP,JP,0.0,C,E,6.8,15991.559999999998
145,33236815,2021-04-02,30,B,11,21,11,10,X4WUP3G,BWMGIQG,VBJZ4I3,,9507909000,CN,CN,8.0,A,G,67.0,1621.4
146,40339345,2021-04-02,16,B,11,21,11,10,CD4JNTM,WJTDUMX,15AMC24,,4202322000,CN,CN,8.0,A,S,152.0,2249.6
147,20968962,2021-04-02,40,B,94,21,18,40,8N35WC3,5YDK8RR,NSUBP26,,3924909000,JP,JP,6.5,C,E,11.9,13.090000000000002
148,82227258,2021-04-02,40,B,11,21,11,40,5Z4NF5K,BGUHPCE,HTRZB2D,,5603920000,CN,CN,8.0,FCN1,S,76.8,9715.2
149,62134089,2021-04-02,12,B,84,21,14,40,43QD1G5,SS9X6XG,MW2BPBE,,1207991000,CN,CN,36.0,FCN1,G,15000.0,11167500.0
150,47739528,2021-04-02,20,B,11,21,11,10,47V4A0K,8VS45NF,4FPHCW4,,7318159000,JP,JP,8.0,A,S,8.0,17.6
151,36550664,2021-04-02,20,B,94,21,18,40,A7POIBB,0LOQCO3,HJ7CBRK,,9702001000,US,US,0.0,A,G,8.5,16121.95
152,24696063,2021-04-02,20,B,11,21,11,10,X09KN33,NXZGW6G,81VO49A,,4901109000,SG,MM,0.0,A,Y,62.2,8782.64
153,79023168,2021-04-02,30,B,11,21,11,10,CD4JNTM,T5IAC2J,T7JQGZF,,4412995991,CN,CN,10.0,L,G,96000.0,26179200.0
154,71165958,2021-04-02,20,B,93,21,11,40,O9ZRZA3,8BA1TR1,RT0SKU9,,3002904000,US,US,0.0,A,B,30.0,28032.0
155,47706953,2021-04-02,40,B,87,21,11,40,UTNPOCA,MVGYILC,XP4116Y,W6UCD9,3923900000,KR,KR,6.5,CIT,E,350.0,665.0
156,84074283,2021-04-02,20,B,11,21,11,10,YGML0I1,MYSHB5W,0OIWU6C,,1211901999,CN,CN,8.0,A,S,10000.0,604000.0
157,20899131,2021-04-02,16,B,11,23,11,40,626DNVO,ZDOV8SQ,V0VJQ5Y,,1701990000,BR,BR,30.0,A,S,24000.0,2980800.0
158,26249822,2021-04-02,20,B,11,21,11,10,GLV0FEA,XK9JLRE,1DWRP58,,3923500000,CN,CN,6.5,C,Y,1201.9,9134.44
159,76034336,2021-04-02,30,B,11,21,11,10,KR8JM9H,W2R6ZJ0,GCPNHU7,,6211331000,VN,VN,0.0,FVN1,G,162.0,31185.0
160,54524747,2021-04-02,20,B,87,21,18,40,OZB7KED,PDN3GW3,1LNQ37W,,4201009090,CN,CN,8.0,A,E,154.0,1817.2
161,95970051,2021-04-02,13,B,29,21,11,40,OJG6L5L,8YE9H2S,MYU5PHA,EJSCB4,6204599000,IT,RO,0.0,FEU1,S,3.0,2190.3
162,38340339,2021-04-02,40,B,11,21,43,10,6A0CUH8,HFVWJ5F,67WHNYC,,3825900000,KR,KR,6.5,C,E,5430.0,28236.0
163,69251798,2021-04-02,30,B,11,21,11,10,HV1AB1L,CEL9KRP,J6CQGJD,,6702909000,CN,CN,8.0,A,Y,18.2,529.62
164,14075839,2021-04-02,30,B,11,21,43,50,GLV0FEA,RRB8RGA,3RF1BI0,B12OMY,3307302000,FR,FR,0.0,FEU1,S,609.2,3655.2
165,77093640,2021-04-02,20,B,11,21,11,10,A4VPLN7,LMZC7PS,0AFIUDU,,8518291000,HK,KR,0.0,CIT,G,1.7,1859.46
166,17436551,2021-04-02,40,B,11,21,11,40,NL3G1LT,IXLF4S4,,MWIDNS,3924100000,CN,CN,0.0,FCN1,E,15.0,21.0
167,19571330,2021-04-02,30,B,11,21,11,40,EK1IE52,FAQBBWS,7JUUMOF,,8518109090,VN,VN,0.0,FVN1,G,13.5,2394.9
168,29990255,2021-04-02,40,B,11,21,43,40,2TGRPLO,8G5ETIP,C2XW2ZZ,,9503003493,JP,CN,8.0,A,E,5.4,1420.2
169,93485795,2021-04-02,40,B,11,21,11,40,NZYZ967,LILK087,VG9A78O,,3923100000,JP,JP,6.5,C,Y,2.8,8.959999999999997
170,90910087,2021-04-02,40,B,94,21,11,40,2F7JGCO,498FJSU,C9F16GQ,MWIDNS,6307909000,CN,CN,10.0,A,E,10.0,23.0
171,29574908,2021-04-02,40,B,11,21,11,40,J00DWE8,0O04K58,6PQT0F8,MWIDNS,2853902000,KR,CA,5.5,C,E,4.5,999795.6
